ID,Team,League,Conference,Division
126,Columbus Blue Jackets,NHL,Eastern,Metropolitan
127,Dallas Stars,NHL,Western,Central
128,Detroit Red Wings,NHL,Eastern,Atlantic
129,Florida Panthers,NHL,Eastern,Atlantic
130,Los Angeles Kings,NHL,Western,Pacific
131,Minnesota Wild,NHL,Western,Central
132,New Jersey Devils,NHL,Eastern,Metropolitan
133,New York Islanders,NHL,Eastern,Metropolitan
134,New York Rangers,NHL,Eastern,Metropolitan
135,Philadelphia Flyers,NHL,Eastern,Metropolitan
136,Pittsburgh Penguins,NHL,Eastern,Metropolitan
137,San Jose Sharks,NHL,Western,Pacific
138,Seattle Kraken,NHL,Western,Pacific
139,St. Louis Blues,NHL,Western,Central
140,Tampa Bay Lightning,NHL,Eastern,Atlantic
141,Vegas Golden Knights,NHL,Western,Pacific
142,Washington Capitals,NHL,Eastern,Metropolitan
143,Atlanta Dream,WNBA,Eastern,
144,Chicago Sky,WNBA,Eastern,
145,Dallas Wings,WNBA,Western,
146,Indiana Fever,WNBA,Eastern,
147,Las Vegas Aces,WNBA,Western,
148,Los Angeles Sparks,WNBA,Western,
149,Minnesota Lynx,WNBA,Western,
150,New York Liberty,WNBA,Eastern,
151,Phoenix Mercury,WNBA,Western,
152,Seattle Storm,WNBA,Western,
153,Washington Mystics,WNBA,Eastern,
